Patient,Slice,Feature_2,Feature_27,Feature_280,Feature_435,Feature_446,Feature_800,Feature_1431,Feature_910,Feature_644,Feature_60,Feature_943,Feature_1351,Feature_1292,Feature_328,Feature_91,Feature_76,Feature_1503,Feature_1124,Feature_675,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
5.0,178.0,0.0,1.0961962,0.4124089,0.2850963,0.8416109,0.19551373,0.42263746,0.0,0.5072099,0.32011542,0.4685917,0.38179109,0.30410856,0.36617976,0.28404552,0.013707817,0.059399903,1.034896,0.43131208,0.1946457814168743,0.47218271411216,2.52368814524742,3.9291420434318254,14.586141402409188,22.0
5.0,177.0,0.0,0.9512338,0.39805883,0.24859089,0.73600054,0.20876133,0.5184151,0.015449524,0.5015719,0.25180712,0.3736934,0.38935485,0.37370306,0.3807829,0.29112917,0.12275186,0.081662655,1.0493544,0.45630693,0.217113325163834,0.4795872459423196,2.7024348660024504,3.0968085673184502,15.183555370988309,26.0
5.0,176.0,0.0,0.6834504,0.32966697,0.35080272,0.62728,0.17202276,0.5431578,0.036664873,0.531165,0.30582905,0.005585015,0.5322249,0.30071592,0.4747978,0.2900725,0.016544908,0.05092174,0.82182884,0.4880768,0.253113854595336,0.4291053418653164,4.207352537722909,3.4784636488340195,15.791018619120305,28.0
5.0,175.0,0.023031354,0.7344077,0.24970621,0.39797205,0.69052124,0.13700607,0.47365674,0.0535388,0.5168718,0.26847544,0.01160872,0.57958806,0.31646335,0.5382607,0.2852561,0.085541785,0.059690893,0.99395525,0.47746372,0.3100274038971067,0.3465281229786165,3.852412602764614,3.74243364774637,15.494964677986356,21.0
5.0,174.0,0.029745102,0.6645831,0.26734585,0.44399017,0.6931968,0.10514778,0.48940086,0.20979512,0.44426492,0.26384637,0.0,0.6357924,0.32562357,0.54293907,0.12659341,0.15040609,0.07070243,1.0287942,0.53011286,0.3064404138935461,0.3319489839423772,3.501227793866111,2.6888516316957105,15.976001498204443,14.0
12.0,179.0,0.23473918,0.79491216,0.40723705,0.33391243,0.4637159,0.22602338,0.20569596,0.1589511,0.3133423,0.08136338,0.20335656,0.4500331,0.0,0.61314,0.3972878,0.03502801,0.16417968,0.83345425,0.37752318,0.1833929670667898,0.4863776483231696,3.5952600800246235,3.5535549399815327,24.428345086426287,29.0
12.0,178.0,0.24468553,0.78468734,0.42415684,0.3549896,0.43727446,0.19636476,0.18526697,0.17803621,0.3228388,0.06774032,0.13742167,0.4339992,0.0019167066,0.5867922,0.38663417,0.08034855,0.16646391,0.86310256,0.38506722,0.1886750865128171,0.4986766988812451,3.6206881350702016,3.6161916727280734,23.28736523688517,34.0
12.0,177.0,0.24425185,0.7800124,0.44748247,0.320278,0.42668247,0.1739484,0.1841091,0.18988496,0.31671295,0.0683108,0.11526096,0.4194416,0.008322455,0.5801282,0.4138475,0.07217017,0.16203672,0.83047426,0.36806953,0.2099653681978039,0.4977122863143569,3.5615989690998413,4.485328465193697,22.18461217130223,33.0
12.0,181.0,0.22146821,0.8974214,0.24331236,0.38442624,0.43568677,0.19939643,0.23629837,0.15926796,0.28782365,0.07422161,0.22093123,0.42402723,0.0,0.6009473,0.41678077,0.14253111,0.2085036,0.74328566,0.31460214,0.1526091841809574,0.5306155845619123,3.7492309675993294,3.2495164766343088,24.53785670735453,21.0
12.0,180.0,0.21786511,0.8318009,0.28722042,0.3841396,0.45716333,0.24724498,0.23932661,0.15490013,0.26170734,0.08780548,0.25367552,0.4729248,0.0,0.62623245,0.4112746,0.043385863,0.16446865,0.7818105,0.3495425,0.1643149497051682,0.4796960529615165,3.3899225343970403,3.897282922881257,24.67436026693463,33.400000000000006
15.0,202.0,0.17558944,0.88251716,0.29062402,0.18045047,0.3223731,0.22046232,0.22273226,0.1972071,0.32296118,0.04238206,0.07193214,0.3051931,0.06700206,0.54331803,0.43527955,0.18744807,0.18705994,0.7370993,0.25398004,0.3221842447916667,0.5779415975920105,4.036431206597222,4.966118706597222,27.690093932173088,42.0
15.0,203.0,0.17957377,0.6699207,0.2118935,0.21411037,0.32578576,0.224327,0.2681483,0.15984994,0.3316953,0.0,0.01382941,0.30744788,0.014297724,0.55915344,0.44588047,0.18433888,0.19950008,0.69027185,0.28476465,0.2938602378587345,0.5439338284150292,4.248463045987812,4.654514215146715,27.672782480632623,41.5
15.0,211.0,0.19295251,0.6026661,0.15873092,0.23290545,0.3551517,0.21929869,0.28957564,0.13476467,0.33263603,0.0,0.01931411,0.28930435,0.036696345,0.57481927,0.43519324,0.18598622,0.1777373,0.68461776,0.3093214,0.3851470044378698,0.4232517646001604,4.099089312130177,4.067284578402367,23.566320658658785,29.0
15.0,209.0,0.18982053,0.48285443,0.13005733,0.22823822,0.30873692,0.21445319,0.272093,0.14065361,0.33711174,0.0,0.016301215,0.27564654,0.04749444,0.5731089,0.44768542,0.19173443,0.15397638,0.66096854,0.27791107,0.3523084852430555,0.4020241861151268,5.228732638888888,4.3271484375,24.887538078520045,30.300000000000004
15.0,210.0,0.19257605,0.5657501,0.14584148,0.23280519,0.34324223,0.21918988,0.2933796,0.14252424,0.32890895,0.00146088,0.019662023,0.2805818,0.025884926,0.5779218,0.43967444,0.1826138,0.17140114,0.67839766,0.30600715,0.3433194527067222,0.3917420254201125,4.624770969660916,3.91614515169542,24.223186554680797,26.0
16.0,182.0,0.27579892,0.5116253,0.29917204,0.27322245,0.45776087,0.19190782,0.27465606,0.13257277,0.3504013,0.03520286,0.09637177,0.31054226,0.0,0.64621377,0.41148657,0.103998244,0.18442017,0.7700454,0.28273427,0.2458191609977324,0.3863220182105313,3.0480442176870746,2.375708616780045,18.79340397084996,13.7
16.0,183.0,0.25848734,0.6466565,0.3157047,0.2857272,0.4715438,0.19512546,0.29724947,0.14680529,0.32427755,0.036009252,0.09222269,0.32668826,0.0,0.63930315,0.40616447,0.108064175,0.19415814,0.77570665,0.31399286,0.2067786705624543,0.458606373346126,2.974317019722425,2.433484295105917,17.325093869967198,13.0
16.0,185.0,0.24599123,0.7277948,0.28427845,0.22912228,0.44661516,0.18844998,0.2775535,0.13738912,0.32177392,0.019841328,0.057527304,0.2952328,0.005008772,0.6001109,0.3907537,0.15713271,0.20184577,0.7332989,0.2904346,0.1430105506188085,0.4690608568258768,1.8757013611103652,2.2764101049692607,15.1838427779591,20.0
16.0,184.0,0.2569735,0.7473039,0.29213798,0.25602144,0.45183247,0.1873709,0.28289795,0.15301335,0.2897933,0.02155377,0.08438724,0.31194028,0.0,0.6200942,0.39417762,0.119081706,0.19765675,0.75251293,0.3133732,0.1512842301471999,0.483829447473482,1.9749458622296536,2.301471999122831,16.097432095332227,18.0
16.0,186.0,0.23384011,0.64681715,0.28535974,0.24239129,0.43714267,0.19170287,0.27854759,0.1304565,0.3491859,0.021763533,0.042330444,0.29404178,0.0030562133,0.5945796,0.38909954,0.16378504,0.20382714,0.72531044,0.26163733,0.1748757081743554,0.4678055365642557,2.6852815354376225,4.160480980460169,14.24076130936194,19.5
17.0,173.0,0.26394367,0.75102955,0.311889,0.27177477,0.48993683,0.14150172,0.09671935,0.16656059,0.37634143,0.0,0.10518181,0.34493896,0.09072067,0.53168,0.399993,0.18039556,0.18829954,0.85459626,0.1750611,0.1233140411089018,0.5501355641720928,1.6692544420663369,2.007624016919745,15.94233433415114,0.0
17.0,172.0,0.25420594,0.6204574,0.28931803,0.2490499,0.44350463,0.1412547,0.092435434,0.13633424,0.36567554,0.0,0.056889176,0.30293688,0.08812794,0.55211014,0.39920813,0.16535273,0.16787916,0.8053026,0.19881356,0.1082314049586776,0.4844464369878819,1.322499173553719,1.268019834710744,17.255152478238152,1.400000000000002
17.0,170.0,0.20819569,0.60067225,0.14789212,0.10971254,0.23327899,0.16345555,0.0,0.10267532,0.3941829,0.07733326,0.0,0.2584397,0.12422171,0.6033402,0.3913409,0.17348751,0.13037592,0.57895565,0.13980263,0.1078633755904813,0.5147806523266478,1.3877990400324212,1.6196603386481934,18.046318656058915,-7.0
17.0,169.0,0.1956445,0.76081866,0.15468538,0.110847175,0.26407558,0.12321824,0.0,0.114233255,0.39480802,0.07133922,0.050976276,0.27019396,0.12567733,0.6438724,0.38654083,0.16939564,0.13945925,0.5939815,0.20599103,0.0954260380622837,0.5334127451123049,1.5963992214532872,1.8191500865051904,18.232806774295337,6.300000000000004
