Paziente,105,620,333,741,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
5,14.331602,6.1673393,1.1479354,11.027897,3.9291420434318254,2.52368814524742,0.9309192449340354,27.39268689868377
12,46.520824,24.58269,1.2705705,8.464727,3.355010730968312,3.6943315237975,0.9403701482594408,34.88607194513267
15,38.01903,7.170102,6.520109,8.640262,4.234633859425546,4.850872463483972,0.9624239014853684,66.77125996265471
16,42.578766,23.514353,1.7339449,6.070258,4.160480980460169,2.6852815354376225,0.9414332823354294,23.49083411281138
17,51.417046,9.458717,1.8148339,3.688466,1.7450406665344178,1.6546320174568538,0.9341139093525214,23.949137584091645
19,39.243904,19.107712,1.1595073,8.02553,1.3268526701174097,1.3563943946471406,0.9142948346795404,18.31214987411389
22,37.25536,10.612617,9.303636,8.842855,3.799574861544035,3.511167033658384,0.9359482030316564,65.51070904081634
23,47.50399,16.977009,1.6263285,6.233864,3.898340848653024,4.128569776852816,0.9388465029337936,52.79015546625002
24,13.929177,1.9046583,10.615606,2.7346702,3.24816513212246,3.122113001520576,0.9346577295707232,52.82330854482411
25,42.293293,8.318862,4.9150233,5.2424126,1.848939763557891,2.4668324263464063,0.9199390845679392,21.311952572193537
26,41.338554,14.269504,3.4964516,13.170581,1.488994646044021,1.2986317668054728,0.8942860422771632,22.99355221984012
27,21.977337,3.2321396,2.3001962,8.569047,2.0394879737933738,2.8599682307955554,0.9344392262567924,52.98544890593295
29,41.828686,22.29171,1.5364449,8.154009,4.044443850285252,3.5973249467763337,0.9315289611293652,39.69125427054971
30,47.002445,21.363173,1.6442871,15.201392,1.9997959183673475,0.9581632653061224,0.911688208065596,17.57034218438529
31,45.003937,16.999361,4.192884,8.070179,1.5659464450600185,1.4003570329332102,0.9056549928478016,12.25792298086151
